System converged! iterations = 753
Network parameters:
a 		 b 		 w 
-1.07505 	 0.570125 	 1.75364 
-0.964497 	 1.04923 	 0.151364 
0.0962209 	 0.47541 	 2.82273 
1.08885 	 0.790434 	 0.706234 
1.32034 	 0.5544 	 1.03412 


-1 0.353227
-0.959184 0.352126
-0.918367 0.331456
-0.877551 0.28944
-0.836735 0.225437
-0.795918 0.140133
-0.755102 0.0356666
-0.714286 -0.0843488
-0.673469 -0.214902
-0.632653 -0.349779
-0.591837 -0.481862
-0.55102 -0.603526
-0.510204 -0.707105
-0.469388 -0.785403
-0.428571 -0.832207
-0.387755 -0.842768
-0.346939 -0.814207
-0.306122 -0.745815
-0.265306 -0.63921
-0.22449 -0.498338
-0.183673 -0.329316
-0.142857 -0.140109
-0.102041 0.0599279
-0.0612245 0.260616
-0.0204082 0.451588
0.0204082 0.622948
0.0612245 0.765896
0.102041 0.873288
0.142857 0.940078
0.183673 0.963607
0.22449 0.943734
0.265306 0.882785
0.306122 0.785343
0.346939 0.657886
0.387755 0.508306
0.428571 0.345363
0.469388 0.178095
0.510204 0.0152426
0.55102 -0.135274
0.591837 -0.266791
0.632653 -0.37422
0.673469 -0.454251
0.714286 -0.505401
0.755102 -0.527957
0.795918 -0.523789
0.836735 -0.496084
0.877551 -0.449012
0.918367 -0.387368
0.959184 -0.316198
1 -0.240462


-1 0.35313
-0.9 0.315595
-0.8 0.146196
-0.7 -0.130308
-0.6 -0.45202
-0.5 -0.724573
-0.4 -0.844225
-0.3 -0.737964
-0.2 -0.403878
-0.1 0.0734548
-1.38778e-16 0.548525
0.1 0.872862
0.2 0.955177
0.3 0.792066
0.4 0.457604
0.5 0.0648618
0.6 -0.276448
0.7 -0.488392
0.8 -0.535456
0.9 -0.422815
1 -0.188376
