System converged! iterations = 964
Network parameters:
a 		 b 		 w 
-4.6594 	 3.15386 	 2.37869 
-2.38386 	 0.853824 	 0.316644 
0.110439 	 0.428839 	 2.54738 
-0.112419 	 2.16473 	 -0.155763 
2.29365 	 1.76623 	 1.42846 


-1 0.353227
-0.894737 0.309802
-0.789474 0.124837
-0.684211 -0.179854
-0.578947 -0.521775
-0.473684 -0.778547
-0.368421 -0.834212
-0.263158 -0.632605
-0.157895 -0.211597
-0.0526316 0.301971
0.0526316 0.738546
0.157895 0.953842
0.263158 0.886951
0.368421 0.581375
0.473684 0.160599
0.578947 -0.227654
0.684211 -0.47053
0.789474 -0.526107
0.894737 -0.424543
1 -0.240462


-1 0.431308
-0.984375 0.417589
-0.96875 0.402493
-0.953125 0.385938
-0.9375 0.367842
-0.921875 0.348124
-0.90625 0.326707
-0.890625 0.30352
-0.875 0.278497
-0.859375 0.251583
-0.84375 0.222733
-0.828125 0.191914
-0.8125 0.159111
-0.796875 0.124325
-0.78125 0.0875764
-0.765625 0.048909
-0.75 0.00839028
-0.734375 -0.0338858
-0.71875 -0.0777972
-0.703125 -0.123192
-0.6875 -0.169889
-0.671875 -0.217672
-0.65625 -0.266298
-0.640625 -0.315486
-0.625 -0.36493
-0.609375 -0.414289
-0.59375 -0.463197
-0.578125 -0.511261
-0.5625 -0.558068
-0.546875 -0.603183
-0.53125 -0.646159
-0.515625 -0.686539
-0.5 -0.723864
-0.484375 -0.757675
-0.46875 -0.787524
-0.453125 -0.812976
-0.4375 -0.833621
-0.421875 -0.849076
-0.40625 -0.858996
-0.390625 -0.863077
-0.375 -0.861066
-0.359375 -0.852763
-0.34375 -0.83803
-0.328125 -0.816793
-0.3125 -0.789046
-0.296875 -0.754855
-0.28125 -0.714358
-0.265625 -0.667767
-0.25 -0.615366
-0.234375 -0.55751
-0.21875 -0.494623
-0.203125 -0.42719
-0.1875 -0.355757
-0.171875 -0.28092
-0.15625 -0.203322
-0.140625 -0.12364
-0.125 -0.0425821
-0.109375 0.0391279
-0.09375 0.120755
-0.078125 0.201566
-0.0625 0.280838
-0.046875 0.357866
-0.03125 0.431977
-0.015625 0.502535
0 0.568948
0.015625 0.630678
0.03125 0.687248
0.046875 0.738241
0.0625 0.783312
0.078125 0.822185
0.09375 0.854657
0.109375 0.880599
0.125 0.899953
0.140625 0.912734
0.15625 0.919022
0.171875 0.918963
0.1875 0.912763
0.203125 0.90068
0.21875 0.883021
0.234375 0.860136
0.25 0.832408
0.265625 0.800251
0.28125 0.764097
0.296875 0.724395
0.3125 0.6816
0.328125 0.63617
0.34375 0.588557
0.359375 0.539204
0.375 0.48854
0.390625 0.436972
0.40625 0.384886
0.421875 0.332643
0.4375 0.280573
0.453125 0.228979
0.46875 0.178129
0.484375 0.128262
0.5 0.0795838
0.515625 0.032269
0.53125 -0.0135388
0.546875 -0.0577251
0.5625 -0.100204
0.578125 -0.140914
0.59375 -0.17982
0.609375 -0.216906
0.625 -0.252178
0.640625 -0.285659
0.65625 -0.317386
0.671875 -0.347409
0.6875 -0.375789
0.703125 -0.402596
0.71875 -0.427905
0.734375 -0.451797
0.75 -0.474358
0.765625 -0.495672
0.78125 -0.515826
0.796875 -0.534906
0.8125 -0.552996
0.828125 -0.570177
0.84375 -0.586528
0.859375 -0.602124
0.875 -0.617036
0.890625 -0.63133
0.90625 -0.645069
0.921875 -0.65831
0.9375 -0.671106
0.953125 -0.683506
0.96875 -0.695554
0.984375 -0.707289
1 -0.718749
